Cost_in,From_Node,Node,To_Node,Cost_out
2,174,173,107,3
2,173,174,48,3
3,48,175,174,3
3,114,176,175,3
4,49,177,50,4
3,180,178,177,4
3,118,179,122,4
3,178,180,181,4
2,57,181,182,2
2,181,182,57,4
3,181,183,184,3
3,183,184,95,6
2,186,185,128,3
1,128,186,185,2
3,190,187,129,4
3,186,188,128,4
5,188,189,95,6
3,187,190,188,4
4,187,191,190,5
3,193,192,190,4
3,192,193,190,7
3,196,194,192,5
2,196,195,194,5
2,195,196,194,3
3,210,197,196,4
4,201,198,199,5
3,202,199,198,5
3,204,200,202,5
4,198,201,202,7
2,204,202,199,3
3,202,203,204,3
2,202,204,200,3
3,206,205,207,5
2,207,206,205,3
2,206,207,205,5
2,209,208,207,5
2,208,209,206,4
3,197,210,196,4
4,210,211,212,4
4,211,212,208,6
5,207,213,208,5
8,212,214,211,10
6,192,215,216,6
3,217,216,215,6
3,216,217,137,7
4,221,218,219,6
4,220,219,198,6
4,219,220,226,4
4,218,221,225,8
5,152,222,223,6
6,222,223,221,9
6,225,224,256,7
6,220,225,224,6
4,220,226,219,8
10,226,227,253,10
4,147,228,148,4
2,230,229,228,5
2,229,230,231,6
3,507,231,508,4
2,508,232,523,3
3,234,233,251,7
3,233,234,250,8
2,237,235,238,5
3,239,236,248,4
2,235,237,238,3
3,237,238,235,5
3,236,239,248,7
7,230,240,247,8
6,242,241,245,8
6,241,242,243,6
5,244,243,242,6
2,245,244,266,4
2,244,245,246,3
2,266,246,245,3
8,240,247,246,10
4,236,248,239,7
5,250,249,268,5
2,251,250,249,5
2,250,251,233,7
5,269,252,533,5
8,254,253,259,8
5,259,254,255,6
6,254,255,256,6
5,257,256,255,6
5,256,257,254,7
5,259,258,254,6
5,254,259,258,5
6,261,260,259,10
6,260,261,259,16
6,263,262,257,9
5,264,263,262,6
5,263,264,242,6
4,310,265,262,9
2,246,266,244,4
5,275,267,246,6
4,271,268,249,5
5,252,269,270,6
5,271,270,269,6
4,268,271,270,5
6,288,272,273,10
8,274,273,271,10
5,276,274,273,8
5,267,275,276,6
5,274,276,275,6
5,312,277,276,10
5,292,278,276,6
10,278,279,273,11
5,289,280,292,5
8,270,281,269,9
4,287,282,536,7
9,284,283,536,12
9,283,284,285,11
7,286,285,284,11
7,285,286,287,10
4,282,287,286,10
6,272,288,289,7
5,280,289,288,7
3,291,290,292,6
3,290,291,292,3
3,291,292,278,5
5,294,293,296,5
3,295,294,299,3
3,294,295,290,6
5,293,296,297,7
5,312,297,298,6
6,297,298,293,9
3,294,299,295,6
6,301,300,299,8
6,300,301,299,8
5,304,302,303,8
6,304,303,321,7
5,302,304,303,6
6,304,305,322,6
9,302,306,304,9
7,309,307,306,9
10,307,308,301,13
7,307,309,305,16
4,265,310,311,8
6,312,311,310,8
5,277,312,297,5
5,314,313,321,5
4,315,314,319,4
4,314,315,316,5
5,315,316,319,5
4,318,317,316,6
4,317,318,316,6
4,314,319,316,5
4,323,320,322,7
5,313,321,314,6
6,305,322,320,7
4,320,323,322,7
2,331,324,325,3
2,331,325,324,3
3,327,326,325,4
3,326,327,330,3
5,327,328,400,5
2,330,329,332,2
1,332,330,329,2
2,324,331,325,2
1,330,332,329,2
4,349,333,334,5
4,329,334,332,4
2,420,335,418,4
2,351,336,337,4
4,336,337,420,4
6,335,338,351,6
5,356,339,341,6
2,342,340,421,2
3,340,341,342,4
2,340,342,341,4
4,344,343,347,4
2,345,344,331,3
2,344,345,346,3
3,345,346,349,3
4,343,347,348,4
3,349,348,347,4
3,346,349,348,3
4,349,350,352,4
2,336,351,337,5
4,350,352,353,7
5,356,353,338,6
7,353,354,352,8
5,358,355,353,7
5,339,356,341,5
5,358,357,359,6
5,355,358,357,5
6,357,359,355,7
4,361,360,362,6
4,360,361,363,5
5,341,362,342,5
5,361,363,380,6
4,365,364,363,8
4,364,365,366,6
6,365,366,369,6
7,368,367,386,7
2,369,368,366,7
2,368,369,366,6
6,390,370,371,7
7,370,371,372,9
4,374,372,376,6
4,374,373,375,6
4,372,374,373,4
4,376,375,377,5
4,375,376,372,6
5,375,377,376,9
4,379,378,397,7
4,378,379,377,9
4,428,380,363,6
5,383,381,384,5
5,435,382,440,5
1,440,383,381,5
5,381,384,383,7
3,443,385,441,5
5,389,386,387,6
4,443,387,388,5
4,449,388,387,5
4,390,389,386,5
4,389,390,370,6
8,370,391,389,8
5,449,392,391,8
8,450,393,391,9
2,396,394,373,8
9,394,395,396,11
2,394,396,373,8
7,378,397,396,8
3,418,398,399,4
4,398,399,402,4
5,158,400,328,5
3,405,401,402,4
4,399,402,401,4
4,398,403,399,4
4,403,404,423,4
3,401,405,402,4
2,409,406,408,4
3,412,407,424,3
2,409,408,412,2
2,406,409,408,2
3,411,410,493,3
3,410,411,414,5
2,408,412,407,3
4,436,413,412,6
4,417,414,411,5
3,494,415,500,4
5,500,416,414,6
4,414,417,437,5
3,398,418,335,4
4,403,419,418,4
2,335,420,337,4
2,340,421,342,4
4,420,422,421,4
4,404,423,424,4
3,407,424,423,4
4,424,425,407,5
5,422,426,427,6
4,429,427,342,5
4,380,428,429,4
2,430,429,427,4
2,429,430,433,4
3,407,431,425,5
3,435,432,430,5
3,435,433,430,4
4,428,434,433,6
3,432,435,433,3
4,413,436,437,6
3,438,437,417,5
3,437,438,445,6
4,442,439,440,6
1,383,440,382,5
4,442,441,385,5
4,439,442,441,4
3,385,443,387,4
7,442,444,443,7
5,446,445,438,6
5,445,446,444,7
5,452,447,467,5
7,388,448,444,7
4,388,449,392,5
6,449,450,451,7
4,454,451,450,7
5,447,452,448,7
7,469,453,454,8
4,451,454,455,6
6,454,455,450,8
4,457,456,455,8
4,456,457,458,6
6,457,458,479,7
4,460,459,517,4
4,459,460,461,5
5,460,461,459,9
6,463,462,467,8
6,462,463,464,6
3,544,464,465,4
4,464,465,471,6
6,463,466,468,6
5,447,467,468,6
5,470,468,466,6
7,453,469,479,7
5,468,470,471,5
3,472,471,470,5
3,471,472,473,4
4,472,473,474,4
4,473,474,549,5
3,551,475,556,5
4,473,476,471,6
4,478,477,471,7
4,477,478,476,6
7,458,479,469,7
3,168,480,170,5
2,482,481,160,3
2,481,482,160,5
1,484,483,485,3
1,483,484,485,2
2,484,485,483,3
2,487,486,409,3
2,486,487,493,2
4,484,488,481,5
4,490,489,488,5
4,489,490,491,4
3,492,491,490,4
2,495,492,491,3
2,487,493,410,3
3,415,494,410,4
2,492,495,497,3
4,512,496,498,5
2,498,497,495,3
1,499,498,497,2
1,498,499,515,1
3,517,500,415,4
3,502,501,490,4
2,503,502,501,3
2,502,503,501,5
5,505,504,511,5
5,504,505,506,5
5,505,506,504,10
3,231,507,509,3
2,232,508,231,4
3,507,509,522,5
2,520,510,521,5
5,504,511,509,6
3,513,512,496,4
3,512,513,514,5
5,513,514,520,5
1,499,515,498,2
2,515,516,499,3
3,500,517,459,4
6,519,518,459,8
4,516,519,515,6
2,510,520,514,5
2,522,521,510,5
2,521,522,509,5
3,232,523,508,5
6,522,524,525,6
6,522,525,524,6
4,547,526,525,6
5,539,527,526,7
3,529,528,531,5
3,528,529,530,6
5,532,530,523,6
4,538,531,528,5
5,530,532,533,5
5,252,533,532,5
5,533,534,535,5
5,534,535,536,5
5,535,536,282,7
6,540,537,538,7
4,531,538,528,5
4,540,539,527,5
4,539,540,541,5
5,540,541,554,5
7,525,542,545,7
6,464,543,544,6
3,464,544,543,6
5,546,545,547,5
5,545,546,550,5
4,526,547,548,4
4,547,548,539,7
3,550,549,474,5
3,549,550,546,5
3,475,551,552,5
5,551,552,553,7
2,554,553,555,6
2,553,554,555,4
4,554,555,553,6
5,475,556,551,8
7,555,557,556,8
5,559,558,557,8
5,558,559,560,6
6,559,560,561,8
8,560,561,559,11
