Cost_in,From_Node,Node,To_Node,Cost_out
29517,173,170,171,30987
3973,173,171,207,4863
23580,454,172,508,27086
3973,171,173,9,4744
4812,176,174,295,5763
162617,92,175,270,207000
4114,424,176,295,4475
43832,132,177,273,44832
12471,633,178,608,126618
31570,272,179,459,43233
52012,549,180,389,54478
3894,453,181,254,8831
31851,72,182,205,32490
61658,85,183,135,92325
24433,626,184,647,65116
10209,541,185,308,15547
25663,285,186,75,77160
32547,101,187,243,74825
3857,260,188,560,5109
76057,248,189,352,77184
6742,10,190,516,8939
75203,511,191,29,77974
2517,372,192,101,73900
2700,269,193,44,3958
680,407,194,342,1016
126085,133,195,530,169301
3585,54,196,598,6208
53111,477,197,589,114740
20939,185,198,541,27682
42388,4,199,276,103381
29867,234,200,226,50161
56853,615,201,380,64308
6319,2,202,156,24855
17312,362,203,601,64076
59224,177,204,9,67337
32490,182,205,72,58301
52104,6,206,374,58597
3603,448,207,171,4863
342156,62,208,417,377235
2712,227,209,56,4098
54677,436,210,180,92851
125082,50,211,592,151972
116177,620,212,281,118601
4859,117,213,504,5584
2951,215,214,47,65015
2951,214,215,47,64872
12170,618,216,591,27401
68310,130,217,602,93693
47415,397,218,553,89451
71531,130,219,220,83808
9716,55,220,602,75430
62211,135,221,414,92618
8100,124,222,615,47158
5598,283,223,286,15304
42888,266,224,600,94554
49987,476,225,579,132147
9032,81,226,97,13754
2712,209,227,452,4147
3733,254,228,296,5411
1908,52,229,347,5430
52188,340,230,132,117449
2084,622,231,4,78806
138249,507,232,37,169930
37095,174,233,323,39365
26274,471,234,200,29867
44220,131,235,335,62333
31324,563,236,299,99350
26642,290,237,47,75967
7337,437,238,386,10758
21996,294,239,245,24166
31387,318,240,253,42094
143776,444,241,502,144639
39774,395,242,361,68301
5062,435,243,373,5346
29226,146,244,167,39828
5263,294,245,299,16084
2490,164,246,261,3265
8491,344,247,354,9607
15960,352,248,434,37341
25981,169,249,635,41902
77488,419,250,510,94370
109898,84,251,336,215065
17054,481,252,298,22117
8292,318,253,129,11231
3733,228,254,296,5199
1716,460,255,537,14730
103442,392,256,547,135403
62645,432,257,340,99504
5785,159,258,319,45691
155610,197,259,477,160967
2266,560,260,188,3857
3265,246,261,164,6917
80364,326,262,630,151725
9257,597,263,371,20937
58045,33,264,637,65523
2857,284,265,639,7616
42888,224,266,600,58925
26116,571,267,79,73614
20879,609,268,613,21048
2099,44,269,193,2700
10124,616,270,176,137400
3042,309,271,138,38126
24814,518,272,179,31570
19995,132,273,177,44832
709,492,274,497,10369
45602,140,275,644,55634
76934,4,276,8,86807
344173,395,277,106,355768
62715,30,278,595,63363
59498,581,279,394,62846
8019,167,280,146,35983
76949,215,281,214,78904
14439,478,282,390,18038
5598,223,283,286,23933
2857,265,284,587,5653
25663,186,285,75,92892
15304,223,286,283,23933
134655,472,287,524,163456
72418,112,288,289,176954
138734,625,289,525,149601
26642,237,290,620,54320
136405,292,291,77,160072
112387,77,292,291,136405
20296,303,293,410,20698
5263,245,294,299,17197
874,424,295,176,4475
5199,254,296,228,5411
10865,190,297,10,15944
7541,481,298,252,22117
16084,245,299,294,17197
138604,463,300,421,180091
6498,530,301,133,50092
46220,145,302,570,97293
6768,410,303,379,16700
124715,536,304,382,224573
67301,575,305,304,242324
1260,452,306,122,1577
685,122,307,306,2034
5259,541,308,185,15547
3042,271,309,138,41241
4988,32,310,628,13949
6615,119,311,543,122723
22442,168,312,641,49022
1049,413,313,269,2830
246937,14,314,532,400345
64253,310,315,32,68061
19790,644,316,489,20390
18927,134,317,566,95725
8292,253,318,129,19188
30381,26,319,159,45518
47639,611,320,144,83289
38084,22,321,16,51610
10939,57,322,67,17369
16071,3,323,174,17907
77918,46,324,327,96293
14033,74,325,335,23026
80364,262,326,131,116179
25887,335,327,325,34322
62103,329,328,550,66376
22738,487,329,550,44252
84015,487,330,328,94723
43112,90,331,108,74687
13572,579,332,330,128536
20959,247,333,169,23007
65242,635,334,249,75403
23026,325,335,327,25887
100591,477,336,197,145590
2907,307,337,122,2965
17533,555,338,409,66563
35634,169,339,344,41168
52188,230,340,257,99504
31853,298,341,481,34084
856,407,342,194,1016
1711,194,343,342,2226
7044,354,344,247,8491
63401,121,345,153,66868
14832,360,346,104,20066
2874,356,347,52,4769
47915,602,348,130,92865
4397,384,349,379,15317
22552,540,350,128,41072
17113,645,351,617,34685
15960,248,352,434,23838
28508,599,353,558,32182
7044,344,354,247,9607
1812,369,355,412,8578
2874,347,356,229,6310
4833,89,357,519,8016
6398,444,358,502,12726
66789,368,359,196,87478
6922,104,360,346,14832
68301,242,361,395,105892
17312,203,362,601,53357
9470,559,363,380,20084
1445,526,364,636,39664
230496,291,365,77,351520
29049,52,366,229,29833
17787,486,367,428,63624
36665,552,368,437,37360
1812,355,369,412,7447
27649,346,370,360,37361
20937,263,371,597,24472
2517,192,372,101,74939
1249,435,373,243,5346
36705,363,374,559,49106
53697,518,375,272,60745
3931,523,376,560,5761
16221,105,377,383,34212
8799,573,378,445,47150
3001,385,379,337,3311
10114,559,380,363,20084
2794,468,381,515,48249
102465,536,382,304,224573
10908,105,383,377,34212
4397,349,384,466,16050
3001,379,385,337,5030
6579,196,386,137,8154
16951,95,387,394,204202
8814,609,388,613,13230
2861,549,389,12,42501
18038,282,390,478,22829
115038,468,391,513,118175
103442,256,392,59,115691
9512,456,393,577,20530
5491,581,394,279,62846
39774,242,395,361,105892
3471,75,396,260,69520
47415,218,397,76,67353
8062,604,398,198,32158
136534,607,399,173,142483
88867,439,400,444,116453
10830,473,401,41,15374
15384,561,402,483,24883
9634,562,403,478,34450
7115,405,404,426,38545
7115,404,405,426,36374
9100,261,406,246,10463
680,194,407,342,856
6365,583,408,409,8377
8377,408,409,583,9321
6768,303,410,136,18816
88849,125,411,474,98879
7447,369,412,355,8578
1049,313,413,269,3397
34699,135,414,85,62564
43450,462,415,412,50556
12207,190,416,10,12507
74187,562,417,478,78846
186371,566,418,134,189698
77488,250,419,460,96318
39785,388,420,527,44617
166706,498,421,388,172004
13695,447,422,574,22437
43921,573,423,378,52342
874,295,424,176,4114
7669,564,425,584,110814
36212,63,426,405,36374
152528,400,427,84,156757
33887,150,428,367,63624
7419,307,429,227,7461
16229,629,430,517,37275
37942,156,431,154,46593
62645,257,432,273,96861
15364,386,433,196,18267
23838,352,434,248,37341
1249,373,435,243,5062
34346,23,436,210,54677
6136,137,437,238,7337
2228,157,438,595,4696
88867,400,439,28,142256
74421,441,440,576,240397
74421,440,441,576,165167
87324,20,442,422,111583
30820,572,443,494,56297
2442,502,444,358,6398
47150,378,445,573,51546
274627,1,446,494,470132
9751,494,447,422,13695
3603,207,448,171,7569
4306,102,449,92,123350
25717,68,450,481,42292
47113,58,451,450,68183
929,56,452,306,1260
3894,181,453,254,6006
4015,508,454,172,23580
8292,501,455,617,28098
9512,393,456,577,21588
93283,461,457,17,137388
152525,525,458,85,172027
5012,193,459,151,11548
1716,255,460,537,14216
32079,17,461,457,93283
21238,412,462,469,24577
123951,519,463,357,126643
15144,491,464,113,21146
1090,120,465,493,58987
15901,349,466,384,16050
52759,263,467,597,52775
2794,381,468,515,48811
15684,412,469,369,20702
19174,73,470,374,100112
26274,234,471,226,53310
88345,41,472,473,92962
7015,41,473,401,10830
98879,411,474,278,142739
174619,14,475,314,413250
49987,225,476,589,145195
53111,197,477,336,100591
14439,282,478,390,22829
35481,69,479,590,98040
9053,596,480,88,24267
7541,298,481,252,17054
27888,556,482,70,28669
21110,561,483,402,24883
27566,627,484,451,98786
53799,405,485,404,55845
17787,367,486,428,69091
22738,329,487,550,61067
9309,213,488,117,12393
5397,644,489,316,20390
32915,115,490,274,43945
8462,113,491,464,15144
709,274,492,497,10569
44679,455,493,501,47002
9751,447,494,422,22555
18381,643,495,83,44076
22600,638,496,618,50467
10369,274,497,492,10569
166706,421,498,621,176146
141445,544,499,428,150579
99912,323,500,3,108656
8292,455,501,617,34406
2442,444,502,358,12726
13231,608,503,178,138059
3461,117,504,213,5584
86598,281,505,215,87726
38637,123,506,99,44357
75875,526,507,364,76713
4015,454,508,172,27086
6026,343,509,194,7474
94370,250,510,419,166484
7087,29,511,191,75203
96812,110,512,100,108310
67461,353,513,170,75059
21422,228,514,254,22081
10796,448,515,207,13128
2828,10,516,190,8939
5899,151,517,313,6216
24814,272,518,34,36779
4599,89,519,357,8016
15823,161,520,26,26569
10568,144,521,611,67374
131932,383,522,105,137600
3931,376,523,560,6316
116745,519,524,89,135318
38742,625,525,289,149601
1445,364,526,636,40445
9907,609,527,613,20159
182082,77,528,292,202907
39546,234,529,200,54648
6498,301,530,133,44326
7405,126,531,301,81088
349504,70,532,65,351864
219542,69,533,479,239235
77266,45,534,535,86088
65492,375,535,272,82718
102465,382,536,304,124715
14216,460,537,255,14730
20428,605,538,312,83747
18444,138,539,271,40099
22552,350,540,128,36642
5259,308,541,185,10209
128439,98,542,141,182657
122723,311,543,119,132581
141445,499,544,150,145683
52447,494,545,574,54930
51768,116,546,274,85406
99630,99,547,183,107166
4620,38,548,188,8746
2861,389,549,12,43320
44252,329,550,487,61067
79748,334,551,635,108043
1678,137,552,437,9093
1713,76,553,139,3705
12734,344,554,354,15846
17533,338,555,409,59057
27888,482,556,70,29649
46064,366,557,229,48588
11418,599,558,353,32182
9470,363,559,380,10114
2266,260,560,188,5109
15384,402,561,483,21110
9634,403,562,478,26170
31324,236,563,39,104126
7669,425,564,584,117547
66414,92,565,345,102890
95122,134,566,317,95725
18889,570,567,162,55795
17299,67,568,322,17521
143365,223,569,283,144800
18889,567,570,145,45063
26116,267,571,79,49151
30820,443,572,494,35255
8799,378,573,423,43921
22437,422,574,447,33756
67301,305,575,304,305189
165167,441,576,440,240397
20530,393,577,456,21588
42839,46,578,521,80494
13572,332,579,330,117414
58318,612,580,593,72324
5491,394,581,279,59498
61053,266,582,434,83529
6365,408,583,409,9321
110814,425,584,564,117547
0,59,585,392,127833
89864,31,586,78,109056
5653,284,587,265,8398
110063,116,588,546,159505
114740,197,589,476,145195
75393,71,590,69,83824
27401,216,591,598,30309
86802,612,592,580,142149
8239,49,593,580,72324
79029,488,594,213,85684
2592,30,595,157,3814
9053,480,596,88,18603
9257,263,597,371,24472
3702,54,598,196,6208
11418,558,599,353,28508
1751,610,600,266,58925
53357,362,601,203,64076
46419,130,602,348,47915
7264,107,603,379,18801
8062,398,604,198,39145
20428,538,605,312,93829
50226,139,606,630,51767
72064,496,607,468,77876
13231,503,608,178,126618
8396,613,609,388,8814
1751,600,610,434,60098
47639,320,611,144,56347
58318,580,612,592,86802
8396,609,613,388,13230
13505,48,614,43,18079
43297,124,615,222,47158
10124,270,616,176,126913
28098,455,617,501,34406
12170,216,618,433,27777
73269,606,619,397,105984
54320,290,620,237,80441
106764,157,621,438,108428
2084,231,622,4,80079
202894,114,623,116,274415
136052,583,624,408,139164
38742,525,625,289,138734
24433,184,626,647,30227
27566,484,627,451,78607
12058,32,628,310,13949
16229,430,629,52,41012
46194,166,630,606,51767
183114,608,631,503,194580
10988,40,632,65,22994
12471,178,633,608,133602
44999,37,634,232,207014
41902,249,635,169,53564
39664,364,636,526,40445
27975,33,637,355,52966
22600,496,638,618,34985
7616,265,639,284,10815
22331,83,640,643,34607
2700,121,641,312,49022
4345,93,642,111,7421
18381,495,643,83,31623
5397,489,644,316,19790
17113,351,645,154,41156
4671,91,646,246,5071
30227,626,647,200,58142
