C_incident,From,Node,To,C_Outgoing
0,49,358,259,0
0,369,359,5,0
0,17,360,279,0
0,17,361,41,0
0,17,362,279,0
0,17,363,46,0
0,17,364,11,0
0,14,365,20,2
0,404,366,234,1
0,17,367,20,4
0,17,368,355,0
0,375,369,359,0
0,17,370,114,0
0,37,371,23,1
0,81,372,5,0
2,39,373,439,2
0,275,374,38,0
0,81,375,369,0
5,306,376,38,0
0,98,377,314,0
0,17,378,320,0
0,75,379,5,0
0,363,380,29,1
0,402,381,27,0
0,390,382,5,0
0,17,383,193,0
0,411,384,114,8
0,17,385,29,0
0,24,386,5,0
0,17,387,78,0
0,17,388,91,0
0,46,389,5,0
0,407,390,382,0
0,418,391,76,0
0,344,392,23,0
0,340,393,29,0
0,81,394,245,0
0,17,395,16,0
0,2,396,5,0
0,17,397,276,0
0,17,398,356,0
0,17,399,3,0
0,17,400,321,0
0,17,401,145,0
0,17,402,381,0
0,75,403,5,0
0,17,404,366,0
0,4,405,312,4
0,17,406,242,2
0,17,407,390,0
0,17,408,234,0
0,17,409,170,0
0,138,410,76,0
0,17,411,384,0
0,17,412,29,0
0,369,413,5,0
0,18,414,1,0
0,171,415,27,0
0,49,416,5,0
0,17,417,56,10
0,17,418,391,0
0,196,419,359,0
9,351,420,48,0
0,17,421,112,0
2,39,422,439,2
0,46,423,5,0
0,340,424,29,0
0,245,425,5,0
0,64,426,233,0
0,390,427,5,0
0,46,428,266,0
0,434,429,382,0
0,17,430,36,0
0,17,431,183,0
0,17,432,4,0
0,17,433,79,0
0,17,434,429,0
0,17,435,113,0
0,54,436,28,5
0,243,437,5,0
0,292,438,232,0
0,126,439,23,1
0,81,440,5,0
0,189,441,38,0
0,17,442,242,0
0,17,443,266,0
